BRAGANCA PAULISTA;braganca1cv@tjsp.jus.br;braganca2cv@tjsp.jus.br;braganca3cv@tjsp.jus.br;braganca4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRODOWSKI;brodowski@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BROTAS;brotas@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BURI;buri@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BURITAMA;buritama1@tjsp.jus.br;buritama2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUTANTA;butantacivel@tjsp.jus.br;butantacivel@tjsp.jus.br;butantacivel@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CABREUVA;cabreuva@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACAPAVA;cacapava1@tjsp.jus.br;cacapava2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACHOEIRA PAULISTA;cachpta1@tjsp.jus.br;cachpta2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACONDE;caconde@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAFELANDIA;cafelandia@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS;caieiras@tjsp.jus.br;caieiras@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJAMAR;cajamar1@tjsp.jus.br;cajamar2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU;cajuru@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS;campinas1cv@tjsp.jus.br;campinas2cv@tjsp.jus.br;campinas3cv@tjsp.jus.br;campinas4cv@tjsp.jus.br;campinas5cv@tjsp.jus.br;campinas6cv@tjsp.jus.br;campinas7cv@tjsp.jus.br;campinas8cv@tjsp.jus.br;campinas9cv@tjsp.jus.br;campinas2cv@tjsp.jus.br;campinas10cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPO LIMPO PAULISTA;campolimpo1@tjsp.jus.br;campolimpo2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPOS DO JORDAO;campjordao1sp@tjsp.jus.br;campjordao2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANANEIA;cananeia@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA;candmota1@tjsp.jus.br;candmota2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO;capbonito1@tjsp.jus.br;capbonito2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPIVARI;capivari1@tjsp.jus.br;capivari2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAGUATATUBA;caragua1cv@tjsp.jus.br;caragua2cv@tjsp.jus.br;caragua3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA;carapic1cv@tjsp.jus.br;carapic2cv@tjsp.jus.br;carapic3cv@tjsp.jus.br;carapic4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARDOSO;cardoso@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARTAS PRECATORIAS CIVEIS - CAP;spprecatoriascv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CASA BRANCA;casabranca1@tjsp.jus.br;casabranca2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA;catanduva1cv@tjsp.jus.br;catanduva2cv@tjsp.jus.br;catanduva3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CESARIO LANGE;cesariolange@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CERQUEIRA CESAR;cerqcesar12@tjsp.jus.br;cerqcesar2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CERQUILHO;cerquilho@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHAVANTES;chavantes@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLINA;colina@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCHAL;conchal@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCHAS;conchas1@tjsp.jus.br;conchas2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CORDEIROPOLIS;cordeirop@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COSMOPOLIS;cosmopolis@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA;cotia1cv@tjsp.jus.br;cotia2cv@tjsp.jus.br;cotia3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRAVINHOS;cravinhos@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRUZEIRO;cruzeiro1cv@tjsp.jus.br;cruzeiro2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO;cubatao1@tjsp.jus.br;cubatao2@tjsp.jus.br;cubatao3@tjsp.jus.br;cubatao4@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUNHA;cunhasp@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESCALVADO;descalv1@tjsp.jus.br;descalv2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA;diadema1cv@tjsp.jus.br;diadema2cv@tjsp.jus.br;diadema3cv@tjsp.jus.br;diadema4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOIS CORREGOS;doiscorregos@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRACENA;dracena1@tjsp.jus.br;dracena2@tjsp.jus.br;dracena3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUARTINA;duartina@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELDORADO;eldorado@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU DAS ARTES;embu1@tjsp.jus.br;embu2@tjsp.jus.br;embu3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU-GUACU;embuguacu@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESPIRITO SANTO DO PINHAL;pinhal1@tjsp.jus.br;pinhal2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTRELA D OESTE;estreladoeste@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FARTURA;fartura@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDOPOLIS;fernand1cv@tjsp.jus.br;fernand2cv@tjsp.jus.br;fernand3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VASCONCELOS;ferraz1@tjsp.jus.br;ferraz2@tjsp.jus.br;ferraz3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA PAULISTA;floridapta@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA;franca1cv@tjsp.jus.br;franca2cv@tjsp.jus.br;franca3cv@tjsp.jus.br;franca4cv@tjsp.jus.br;franca5cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCISCO MORATO;francmorato1@tjsp.jus.br;francmorato2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCO DA ROCHA;francorocha1cv@tjsp.jus.br;francorocha2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GALIA;galia@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GARCA;garca1@tjsp.jus.br;garca2@tjsp.jus.br;garca3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENERAL SALGADO;gsalgado@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GETULINA;getulina@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUAIRA;guaira1@tjsp.jus.br;guaira2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARA;guara@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARARAPES;guararap1@tjsp.jus.br;guararap2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARAREMA;guararema@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARATINGUETA;guarat1@tjsp.jus.br;guarat2@tjsp.jus.br;guarat3@tjsp.jus.br;guarat4@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARIBA;guariba1@tjsp.jus.br;guariba2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARUJA;guaruja1cv@tjsp.jus.br;guaruja2cv@tjsp.jus.br;guaruja3cv@tjsp.jus.br;guaruja4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS;guarulhos1cv@tjsp.jus.br;guarulhos2cv@tjsp.jus.br;guarulhos3cv@tjsp.jus.br;guarulhos4cv@tjsp.jus.br;guarulhos5cv@tjsp.jus.br;guarulhos6cv@tjsp.jus.br;guarulhos7cv@tjsp.jus.br;guarulhos8cv@tjsp.jus.br;guarulhos9cv@tjsp.jus.br;guarulhos10cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HELY LOPES MEIRELLES;sp1faz@tjsp.jus.br;sp2faz@tjsp.jus.br;sp3faz@tjsp.jus.br;sp4faz@tjsp.jus.br;sp5faz@tjsp.jus.br;sp6faz@tjsp.jus.br;sp7faz@tjsp.jus.br;sp8faz@tjsp.jus.br;sp9faz@tjsp.jus.br;sp10faz@tjsp.jus.br;sp11faz@tjsp.jus.br;sp12faz@tjsp.jus.br;sp13faz@tjsp.jus.br;sp14faz@tjsp.jus.br;sp15faz@tjsp.jus.br;sp16faz@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HORTOLANDIA;hortolandia1cv@tjsp.jus.br;hortolandia2cv@tjsp.jus.br;hortolandia3cv@tjsp.jus.br ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IACANGA;iacanga@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBATE;ibate@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBITINGA;ibitinga1cv@tjsp.jus.br;ibitinga2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBIUNA;ibiuna1@tjsp.jus.br;ibiuna2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEPE;iepe@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGARAPAVA;igarapava1@tjsp.jus.br;igarapava2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGUAPE;iguape1@tjsp.jus.br;iguape2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILHABELA;ilhabela@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILHA SOLTEIRA;ilhasolteira1@tjsp.jus.br;ilhasolteira2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA;indaiatuba1cv@tjsp.jus.br;indaiatuba2cv@tjsp.jus.br;indaiatuba3cv@tjsp.jus.br;indaiatuba4cv@tjsp.jus.br;indaiatuba5cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPAUCU;ipaucu@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPIRANGA;ipiranga1cv@tjsp.jus.br;ipiranga2cv@tjsp.jus.br;ipiranga3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPUA;ipua@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITABERA;itabera@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAI;itai@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAJOBI;itajobi@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITANHAEM;itanhaem1@tjsp.jus.br;itanhaem2@tjsp.jus.br;itanhaem3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPECERICA DA SERRA;itapecerica1@tjsp.jus.br;itapecerica2@tjsp.jus.br;itapecerica3@tjsp.jus.br;itapecerica4@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPETININGA;itapet1cv@tjsp.jus.br;itapet2cv@tjsp.jus.br;itapet3cv@tjsp.jus.br;itapet4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPEVA;itapeva1@tjsp.jus.br;itapeva2@tjsp.jus.br;itapeva3@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPEVI;itapevi1cv@tjsp.jus.br;itapevi2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPIRA;itapira1@tjsp.jus.br;itapira2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPOLIS;itapolis1@tjsp.jus.br;itapolis2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPORANGA;itaporanga@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA;itaqua1cv@tjsp.jus.br;itaqua2cv@tjsp.jus.br;itaqua3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUERA;itaquera1cv@tjsp.jus.br;itaquera2cv@tjsp.jus.br;itaquera3cv@tjsp.jus.br;itaquera4cv@tjsp.jus.br;itaquera5cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITARARE;itarare1@tjsp.jus.br;itarare2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITARIRI;itariri@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATIBA;itatiba1cv@tjsp.jus.br;itatiba2cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATINGA;itatinga@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITIRAPINA;itirapina@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU;itu1cv@tjsp.jus.br;itu2cv@tjsp.jus.br;itu3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITUPEVA;itupeva@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITUVERAVA;ituverava1@tjsp.jus.br;ituverava2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JABAQUARA;upj1a6cvjabaquara@tjsp.jus.br;upj1a6cvjabaquara@tjsp.jus.br;upj1a6cvjabaquara@tjsp.jus.br;upj1a6cvjabaquara@tjsp.jus.br;upj1a6cvjabaquara@tjsp.jus.br;upj1a6cvjabaquara@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JABOTICABAL;jabotic1cv@tjsp.jus.br;jabotic2cv@tjsp.jus.br;jabotic3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JACAREI;jacarei1cv@tjsp.jus.br;jacarei2cv@tjsp.jus.br;jacarei3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JACUPIRANGA;jacup1@tjsp.jus.br;jacup2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAGUARIUNA;jaguariuna1@tjsp.jus.br;jaguariuna2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JALES;jales1cv@tjsp.jus.br;jales2cv@tjsp.jus.br;jales3cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANDIRA;jandira1@tjsp.jus.br;jandira2@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JARDINOPOLIS;jardinopolis@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JARINU;jarinu@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAU;jau1cv@tjsp.jus.br;jau2cv@tjsp.jus.br;jau3cv@tjsp.jus.br;jau4cv@tjsp.jus.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
